date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:33	132196/132196	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2017%20Sep%202018%2020:44:10%20GMT	http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?3.8.0	actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1df9.eot	(from http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=3.8.0)
19:00:41	56760/56760	---MCZ	200	added ('OK')	text/plain	date:Mon,%2017%20Sep%202018%2020:44:10%20GMT	http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?3.8.0	actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1df9.woff2	(from http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=3.8.0)
19:00:46	68288/68288	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2017%20Sep%202018%2020:44:10%20GMT	http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?3.8.0	actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1df9.woff	(from http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=3.8.0)
19:00:49	189397/189397	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Sep%202018%2020:44:10%20GMT	http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?3.8.0	actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1df9.svg	(from http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=3.8.0)
19:00:54	2430/2430	---MC-	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2000:00:51%20GMT	http://actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Factscommunitybaptistchurch.org%2Findex.php%2Four-pastor%2F	actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed71cb.json	(from http://actscommunitybaptistchurch.org/index.php/our-pastor/)
19:00:59	2562/2562	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2000:00:57%20GMT	http://actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Factscommunitybaptistchurch.org%2Findex.php%2Four-pastor%2F&format=xml	actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed18e7	(from http://actscommunitybaptistchurch.org/index.php/our-pastor/)
19:01:06	132036/132036	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2017%20Sep%202018%2020:44:10%20GMT	http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?3.8.0	actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1df9.ttf	(from http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=3.8.0)
19:01:07	44839/44839	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Oct%202017%2002:45:47%20GMT	http://actscommunitybaptistchurch.org/wp-content/uploads/2017/10/Pastor-Family-2.jpg	actscommunitybaptistchurch.org/wp-content/uploads/2017/10/Pastor-Family-2.jpg	(from http://actscommunitybaptistchurch.org/index.php/our-pastor/)
19:01:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Sep%202018%2000:01:09%20GMT	http://actscommunitybaptistchurch.org/?p=81	actscommunitybaptistchurch.org/index44d0.html	(from http://actscommunitybaptistchurch.org/index.php/our-pastor/)
19:01:09	11009/11009	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Oct%202017%2023:25:47%20GMT	http://actscommunitybaptistchurch.org/wp-content/uploads/2017/10/1795188_713228422084581_26541584474586452_o-e1508196347721-300x200.jpg	actscommunitybaptistchurch.org/wp-content/uploads/2017/10/1795188_713228422084581_26541584474586452_o-e1508196347721-300x200.jpg	(from http://actscommunitybaptistchurch.org/index.php/our-pastor/)
19:01:13	2423/2423	---MC-	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2000:01:12%20GMT	http://actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Factscommunitybaptistchurch.org%2Findex.php%2Fministries%2F	actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embedc9d1.json	(from http://actscommunitybaptistchurch.org/index.php/ministries/)
19:01:17	39168/39168	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Oct%202017%2016:33:17%20GMT	http://actscommunitybaptistchurch.org/wp-content/uploads/2017/10/1911734_715071018566988_5619263700134686803_n-201x300.jpg	actscommunitybaptistchurch.org/wp-content/uploads/2017/10/1911734_715071018566988_5619263700134686803_n-201x300.jpg	(from http://actscommunitybaptistchurch.org/index.php/our-pastor/)
19:01:17	2555/2555	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2000:01:15%20GMT	http://actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Factscommunitybaptistchurch.org%2Findex.php%2Fministries%2F&format=xml	actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed83f7	(from http://actscommunitybaptistchurch.org/index.php/ministries/)
19:01:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Sep%202018%2000:01:19%20GMT	http://actscommunitybaptistchurch.org/?p=104	actscommunitybaptistchurch.org/index9430.html	(from http://actscommunitybaptistchurch.org/index.php/ministries/)
19:01:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Sep%202018%2000:01:21%20GMT	http://actscommunitybaptistchurch.org/?p=123	actscommunitybaptistchurch.org/indexb8c4.html	(from http://actscommunitybaptistchurch.org/index.php/mission-and-vision/)
19:01:21	2464/2464	---MC-	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2000:01:20%20GMT	http://actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Factscommunitybaptistchurch.org%2Findex.php%2Fmission-and-vision%2F	actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed643a.json	(from http://actscommunitybaptistchurch.org/index.php/mission-and-vision/)
19:01:23	2596/2596	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2000:01:22%20GMT	http://actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Factscommunitybaptistchurch.org%2Findex.php%2Fmission-and-vision%2F&format=xml	actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embeda11c	(from http://actscommunitybaptistchurch.org/index.php/mission-and-vision/)
19:01:27	2393/2393	---MC-	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2000:01:25%20GMT	http://actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Factscommunitybaptistchurch.org%2Findex.php%2Fgive%2F	actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed311a.json	(from http://actscommunitybaptistchurch.org/index.php/give/)
19:01:31	2525/2525	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2000:01:29%20GMT	http://actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Factscommunitybaptistchurch.org%2Findex.php%2Fgive%2F&format=xml	actscommunitybaptistchurch.org/index.php/wp-json/oembed/1.0/embed7009	(from http://actscommunitybaptistchurch.org/index.php/give/)
19:01:34	57172/57172	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Oct%202017%2021:26:39%20GMT	http://actscommunitybaptistchurch.org/wp-content/uploads/2017/10/Acts-Logo.jpg	actscommunitybaptistchurch.org/wp-content/uploads/2017/10/Acts-Logo.jpg	(from http://actscommunitybaptistchurch.org/index.php/mission-and-vision/)
19:01:37	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2018%20Sep%202018%2000:01:38%20GMT	http://actscommunitybaptistchurch.org/wp-admin/admin-post.php?action=add_wpedon_button_ipn	actscommunitybaptistchurch.org/wp-admin/admin-post7c19.php	(from http://actscommunitybaptistchurch.org/index.php/give/)
19:01:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Sep%202018%2000:01:39%20GMT	http://actscommunitybaptistchurch.org/?p=164	actscommunitybaptistchurch.org/index7760.html	(from http://actscommunitybaptistchurch.org/index.php/give/)
19:07:07	2833939/2833939	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Oct%202017%2023:11:45%20GMT	http://actscommunitybaptistchurch.org/wp-content/uploads/2017/10/OKCLIGHT.jpg	actscommunitybaptistchurch.org/wp-content/uploads/2017/10/OKCLIGHT.jpg	(from http://actscommunitybaptistchurch.org/)
19:08:07	1812853/1812853	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Oct%202017%2022:13:06%20GMT	http://actscommunitybaptistchurch.org/wp-content/uploads/2017/10/IMG_3215.jpg	actscommunitybaptistchurch.org/wp-content/uploads/2017/10/IMG_3215.jpg	(from http://actscommunitybaptistchurch.org/index.php/give/)
19:09:59	4654586/4654586	UR-M--	200	added ('Partial%20Content')	image/png	date:Sat,%2014%20Oct%202017%2001:45:45%20GMT	http://actscommunitybaptistchurch.org/wp-content/uploads/2017/10/IMG_3223.png	actscommunitybaptistchurch.org/wp-content/uploads/2017/10/IMG_3223.png	(from http://actscommunitybaptistchurch.org/)
